systolic hypertension	C0221155
nephropathy	C0011881
redness	CUI-less
pud	C0030920
unable to walk	CUI-less
prerenal azotemia	C0554309
bloody stool	C1321898
gi motility disorder	CUI-less
freckles	CUI-less
cervical rigidity	C0151315
foot ulcer	C0085119
hypernatremia	C0020488
papilledema	C0030353
breath sounds diminished	CUI-less
cyst liver	C0267834
left-sided weakness	CUI-less
sciatica	C0036396
rectal adenocarcinoma	C0149978
left ventricular systolic function normal	CUI-less
exposed to asbestos	CUI-less
pvd	C0085096
neck pain	C0007859
bleeding hemorrhoids	C0265031
knee swollen	CUI-less
traumatic brain injury	C0876926
suicidal ideation	CUI-less
occluded right coronary artery	C1290385
parkinson's	C0030567
bruising	C0009938
mentation	CUI-less
left ventricular systolic function	CUI-less
fractures rib	C0035522
diverticular rupture	CUI-less
sinus tachy	C0039239
echogenic kidney	CUI-less
rcia	CUI-less
crp elevated	CUI-less
osteopenia	C0029453
poor pos	CUI-less
infection	C0021311
inferior stemi	C1303258
hypogammaglobinemia	C0086438
abd tender	C0232498
paroxysmal atrial fibrillation	C0235480
old infarcts	C0333551
multiple infarcts	C0333547
bleeding vessels	C0264940
klebsiella	CUI-less
thrombophlebitis	C0040046
retinal hemorrhage	C0035317
rate is slower	CUI-less
vertebral compression	CUI-less
rebound	C0234246
food impaction	CUI-less
tender lymph node	C0240273
anterolateral myocardial injury	CUI-less
septic emboli	C1955781
rigors	CUI-less
bradycardic	C0428977
ventilator associated pneumonia	C1701940
pa systolic pressure	CUI-less
stone bladder	C0005683
murmur	CUI-less
gallstones	C0008350
hand fx	C0435632
mental status change	C0278061
adverse events	CUI-less
dilated pupils	CUI-less
micturition	CUI-less
afferent pupillary defect	CUI-less
dark stools	C0474585
inferior infarction	C0340305
gouty nodule	CUI-less
mass duodenum	CUI-less
bradycardia	C0428977
deformed aortic valve leaflets	CUI-less
nonbleeding esophageal varices	CUI-less
hocm	C0007194
uremic encephalopathy	C0268707
right pneumothorax	C0546333
bruit	CUI-less
cardiomegaly	CUI-less
left ventricular outflow tract obstruction	C0344917
flash pulm edema	C0155919
resp symptoms	C0476272
3 vessel disease	C0340285
hit	C0272285
hiv	C0019693
left lower lobe pneumonia	C0585104
decreased range of motion	CUI-less
hypovolemia	CUI-less
rhonchi	C0035508
abdominal discomfort	C0232487
insulin-dependent diabetes mellitus	C0011854
esophageal perforation	C0014860
esoph ulcers	C0151970
elevated lactate	CUI-less
gurgling gas-like pain	C0016205
cocaine o/d	C0573196
etohism	C0001973
cardiopulmonary abnormality	CUI-less
no heart sounds	CUI-less
lv mass	CUI-less
cystic collectionan	CUI-less
cerebral vascular accident	C0038454
intracranial abscess	C0021874
pain sensation	CUI-less
avulsion fracture	C0332758
pathologic adenopathy	CUI-less
perforated duodenum	C0267356
vommitting	C0042963
restenosis	C0333186
st-tw changes	CUI-less
infarction	C0021308
one vessel coronary artery disease	C0581374
visual changes	C0042798
syncopal episode	C0039070
3 vessel coronary artery disease	C0340285
oropharyngeal swallowing disturbance	C0267071
acute respiratory failure	C0264490
gropu b streptococcus	C1960564
sharp wave discharges	CUI-less
acute heart failure	C0264714
tonsillar exudates	CUI-less
pinprick	CUI-less
nasal tickle	CUI-less
acute infarct	C0333548
chronic anemia	C0581384
increased white blood cell count	CUI-less
hypercalcemia malignancy	C0149911
cva tenderness	C0235634
lactic acidosis	C0001125
delayed pp hemorrhage	C0473508
hemangiomas	C0018916
stone kidney	C0022650
sinus	CUI-less
prior inferior wall myocardial infarction	C2063775
birthmark	C0265974
radial ulnar fracture	C0435612
lbbb	C0023211
caput medusae	C0221226
serosanguinous staining	CUI-less
prolonged qtc	CUI-less
right sided chest pain	C0563275
community acquired pneumonia	C0694549
hypercapnia	C0020440
elevated cardiac enzymes	CUI-less
delirium tremens	C0001957
leg moving	CUI-less
nodular opacities	CUI-less
blocked premature atrial contractions	C0428990
bleeding varices	C0333106
bladder cancer	C0005684
thickened aortic valve leaflets	CUI-less
hemopneumothorax	C0019077
recent binge	CUI-less
left lower quadrant pain	C0238551
esophageal varices	C0014867
abnormalities	CUI-less
contusion	C0009938
supraventricular tachycardia	C0039240
crepitus	C0277964
vegetation pulmonic valve	C0577795
factor deficiency	C0001733
dilated right atrium	C0344709
increased lfts	CUI-less
nondisplaced fracture	C0585058
peroneal injury	C0272439
mental condition	CUI-less
liver was nodular	CUI-less
low vision	C0042798
pulmonary nodules	C0748164
obstruction	C0028778
poor medicine compliance	CUI-less
ischemic bowel	C2004435
low back pain	C0024031
gi bleed	C0017181
inflammatory	C0021368
nosocomial pneumonia	C0949083
lacerated	C0043246
lack of function	CUI-less
stemi	C1303258
polycystic liver disease	C0158683
relative afferent defect	C0339663
pulmonic regurgitation	C0034088
splenomegalia	CUI-less
bleeding vessel	C0264940
changes with subcutaneous air	CUI-less
hemorrhagic infarction	C0472369
granulomatous inflammation	C0553697
non-bleeding esophageal varices	CUI-less
open pelvic fracture	C0272581
dehydrated	C0011175
alteration in mental status	C0278061
dyspnea	C0013404
wt loss	CUI-less
pleural effusion	C0032227
lethargic	C0023380
gastrointestinal bleeding	C0017181
neurologic deficit	CUI-less
ugi bleed	C0041909
epigastric mass	CUI-less
wound infection	C0043241
respiratory dispress	C0476273
calcified nodules	CUI-less
rv hypertrophy	C0162770
splenic laceration	C0347636
liver laceration	C0347633
axillary lad	C0578735
compromised bowel	CUI-less
mental status changes	C0278061
malignancy	C1306459
regional wall motion	CUI-less
thickness	CUI-less
b12 deficiency	C0042847
abdomen tender	C0232498
transtentorial hernation	C2937226
lv function unchanged	CUI-less
left ventricular delayed relaxation	C1562298
parenchymal scarring	CUI-less
three-vessel coronary artery disease	C0340285
left ventricular cavity dilated	C0344911
leukopenia	C0023530
drug abuse	C0013146
radial neck fracture	C0435579
peripheral enhancement	CUI-less
hepatic cyst	C0267834
renal stenosis	C0035067
rapid steroid taper	CUI-less
exudates	CUI-less
calcific densities	CUI-less
confusion	C0009676
amount of stool colon	CUI-less
residual right-sided weakness	CUI-less
decrease blood pressure	C0232107
highly atypical cells	CUI-less
hsm	C0019214
spontaneous movements	CUI-less
diabetic ketoacidosis	C0011880
hip fracture	C0019557
shaking chills	C0085593
bilateral inguinal hernias	C0267672
elbow fx	C0600106
worsened aeration	CUI-less
single vessel coronary artery disease	C0581374
clostridium difficile infection	C0343386
arm pain	C0239377
fixed inferior defect	CUI-less
liver function tests	CUI-less
endocarditis	C0014118
recent trauma	C0332665
increased cr	CUI-less
cholangitisepsis	CUI-less
htn	C0020538
white blood cells with bacteria	C0023510
sclerotic lesions	C0221434
insomnia	C0917801
inferior wall function	CUI-less
heart murmur	CUI-less
positive bowel sounds	CUI-less
hypertension	C0020538
not breathing	CUI-less
wound dehiscence	C0259768
2-vessel coronary artery disease	C0581375
blurry vision	C0344232
scoliosis	C0036439
hip abrasion	C0432858
dysrythmias	C0003811
coarse breath sounds	CUI-less
barrett's esophagus	C0004763
tracking	CUI-less
herpes simplex two	C1318710
inflammatory reaction	C0021368
antegrade flow	CUI-less
itching	C0033774
redness wound	CUI-less
t flattening	CUI-less
poor inspir effort	CUI-less
elevation of the left mca	CUI-less
left ventricular end diastolic pressure	CUI-less
constipation	C0009806
muddy sclerae	CUI-less
abdomen shifting dullness	CUI-less
proximal fibula fracture	C0272766
hypertrophic obstructive cardiomyopathy	C0007194
clustered bronchial markings	CUI-less
sexually transmitted diseases	C0036916
high grade lymphoma	C1962917
abdomen nontender	CUI-less
persistant vomiting	C0152165
neoplasm	C0027651
t wave abnormalities	CUI-less
fibula fractures	C0149699
delayed precordial r wave	CUI-less
thick secretions	CUI-less
recurrent ventral hernia	C0267717
bone destruction	C0587240
aortic dissection	C0340647
illness	CUI-less
lucid moments	CUI-less
oriented to person only	CUI-less
aortic root dilatation	C0238669
opiod overdose	C0572061
sacral ulcer	C2919335
hypertriglyceridemia	CUI-less
septic	C0243026
induration	C0332534
esophageal polyp	C0281838
etoh cirrhosis	C0023891
tachcardia	CUI-less
weakness arms	C0751409
cyst	C0010709
over medication	CUI-less
atheromatous disease	C0264956
adult respiratory distress syndrome	C0035222
mobile mass	CUI-less
cerebral edema	C0006114
mass right kidney	CUI-less
air fluid levels	CUI-less
thrill	CUI-less
cough	C0010200
confused	C0009676
fusiform aneurysm	C0333099
hematomas	C0018944
factor viii deficiency	C0272325
related to chemotherapy	CUI-less
prior infarctions	CUI-less
multiple myeloma	C0026764
lv systolic dysfunction	C1277187
hypertensive	C0020538
weight changes	CUI-less
extraaxial widening	CUI-less
portal vein thrombosis	C0155773
movements	CUI-less
platelet count decreasing	CUI-less
first degree av-block	C0085614
carotids murmurs	CUI-less
consolidation lung	C0521530
ethanol intoxication	C0001969
non verbal	CUI-less
rubs	CUI-less
incomplete right bundle-branch block	C0262525
increasing abdominal girth	CUI-less
urinating multiple times	CUI-less
oral control	CUI-less
myopathy	C0026848
gram negative pneumonia	C0854248
unknown primary	C0027667
alcaholic hepatitis	C0019187
condyloma	C0302180
irregularly irregular rhythm	CUI-less
lower extremity edema	C0239340
without improvement	CUI-less
chronic mucosal changes	CUI-less
hernia	C0019270
abdomen guarding	CUI-less
epileptiform events	CUI-less
prostate cancer	C0376358
intolerance of iron	CUI-less
serosal small bowel tear	C0434081
alcohol intoxication	C0001969
platelet drop	CUI-less
kyphosis	C0022821
wounds infection	C0043241
frontotemporal dementia	C0338451
toxic metabolic injury	CUI-less
deep sulcus sign	CUI-less
bendoziadepine withdrawl seizure	C0234547
coughing	C0010200
unwilling to cooperate	CUI-less
psychosocial stress	C0038443
av fistula	C0003855
mets	C2939419
non-cooperation	CUI-less
etoh abuse	C0085762
respiratory function	CUI-less
head lac	C0856548
palpitations	CUI-less
non-oliguric renal failure	CUI-less
malalignment	C1275957
symptom	C1457887
pscyh illness	C0004936
mass mitral valve	CUI-less
right ventricular diastolic collapse	CUI-less
intraoperative bleeding	C0079027
bilateral hematoma	C0018944
lung nodule	CUI-less
respiratory distress	C0476273
end stage liver disease	CUI-less
infectious	C0021311
mucosa friable	CUI-less
respiratory depression	C0235063
cocaine abuse	C0009171
stenoses	C1261287
internal iliac aneurysm	C0340636
scaling plaque	CUI-less
fascicular blocks	C0015643
slow wave discharges	CUI-less
upper extremity weakness	C0751409
jugular venous distension	CUI-less
stenosed	C1261287
temperature	CUI-less
sinus rhythm	CUI-less
elevated liver function tests	CUI-less
biatrial enlargement	CUI-less
impacted	C0333124
complete effacement	CUI-less
asystolic arrrest	C0018790
pneumonia bacterial	C0004626
qrs	CUI-less
group a strep	C0554628
inspiratory wheeze	C0231874
lateral myocardial infarct	C0340312
not ambulated	CUI-less
bilateral pleural effusions	C0747635
stage 4 ckd	C2317473
gouty tophus erythematous nodule	CUI-less
combative	CUI-less
ich	C2937358
abnormal septal motion	CUI-less
abd ntnd	CUI-less
infections	C0021311
azotemia	C0242528
pain abdomen	C0000737
aortic valve stenotic	C0003507
prerenal	CUI-less
aspiration pneumonitis	C1761609
epistaxis	C0014591
paroxysmal nocturnal dyspnea	C1956415
skin breakdown	CUI-less
loculation effusion	C1265808
depressed lv systolic function	CUI-less
pulmonary toilet	CUI-less
collection	CUI-less
anemic	C0002871
anemia	C0002871
dp pulse	CUI-less
abdomen obese	CUI-less
hunger	C0020175
withdrawal syndrome	C0152128
skin warm	C0235218
o2 sats	CUI-less
neuro deficits	CUI-less
aneurysmal dilatation	CUI-less
hemidiaphragm elevated	C0264583
stenosis	C1261287
elevated alkaline phosphatase	CUI-less
poor r wave progression	CUI-less
right blurriness	C0344232
non productive cough	C0850149
hip subluxation	C0019554
reflux	C0232483
lightheadedness	C0220870
right dominant system	C0345135
urinary frequency	CUI-less
dilated aortic sinus	C3164718
traction bronchiectasis	C0264361
group a streptococcus bacteremia	C0554628
slowing heart rate	C0428977
meningitis	C0025289
vulvar intraepithelial neoplasia	C0346210
diastolic collapse	C0520863
dressing saturated with blood	CUI-less
weiss tears	C0024633
abcess	C0000833
depressed cardiac output	CUI-less
dtrs	CUI-less
epstein's anomaly	C0013481
hydro	C0020295
labored breathing	C0553668
cholelithiasis	C0008350
effaced	CUI-less
bowel movements	CUI-less
non-sinus supraventricular rhythm	CUI-less
abnormal alignment	CUI-less
chest pressure	C0438716
brain involvement	CUI-less
stranding	CUI-less
nuchal rigidity	C1320474
epigastric ventral hernia	C2242839
mediastinal widening	CUI-less
caput medusa	CUI-less
gallstone	C0008350
inability to pass stool	CUI-less
withdraw from pain	CUI-less
systemic hypertension	C0020538
liver volume	CUI-less
widening mediastinum	CUI-less
swelling	CUI-less
inferior vena cava dilated	C0685740
rheumatoid arthritis	C0003873
paroxysmal atrial flutter	C0741292
non-insulin-dependent diabetes mellitus	C0011860
liver problems	CUI-less
non-verbal status	CUI-less
gastroesophageal reflux disease	C0017168
distress	C0476273
cannot name date	C0233736
deviation of eyes	C0339614
epigastric discomfort	C1291078
inability to drink	CUI-less
abdominal abcess	C0243001
shadow lung	CUI-less
fall	C0000921
ascities	CUI-less
chronic aspiration	C0700198
spinal abscess	C0391986
pulmonary nodule	CUI-less
left pneumo	CUI-less
irregular rhythm	CUI-less
infxn	C0021311
non-distended	CUI-less
heart enlarged	CUI-less
acute blood loss	C0333276
following commands	CUI-less
absent dtrs	CUI-less
lateral myocardial infarction	C0340312
hypercapnea	C0020440
chronic hep c	C0524910
hypoperfusion	CUI-less
fluid accumulation	CUI-less
aortic valve bicuspid	C0149630
lung consolidation	C0521530
crohn's flare	C0010346
high cholesterol	C0020443
clubbing	C0149651
wall thickening	CUI-less
c. diff	C0343386
herniation	C0019270
conduction abnormality	C0232219
diarrhea	C0011991
oversedated	CUI-less
diaphoretic	C0700590
dialysis noncompliance	CUI-less
lucency	CUI-less
arthritis	C0003864
blurring disc margins	CUI-less
elev. cholesterol	C0020443
skin infection	C0037278
cholecystitis	C0008325
frequent spike	CUI-less
inspiratory wheezes	C0231874
wbc elevated	CUI-less
imi	C0340305
alcoholic pancreatitis	C2919362
death	CUI-less
aspiration pneumonia	C0032290
thalassemia minor	C0085578
pneumonia	C0032285
cellulitis	C0007642
fracture cervicle spine	C0262414
aneurysmal renal artery	C0155742
anechoic collection	CUI-less
anemia of chronic kidney disease	CUI-less
inr	CUI-less
elbow pain	C0239266
non small cell lung cancer	C0007131
anemia of chronic disease	C0002873
step-off	CUI-less
acute st elevation myocardial infarction	C1303258
sweating	C0700590
bradycrdia	C0428977
inguinal lymphadenopathy	C0578736
abd tenderness	C0232498
rales	C0034642
left ventricular dilatation	C0344911
pneumonia right lung	C0746226
nasal fx	C0339848
hydrocephalus	C0020255
spiking temperatures	CUI-less
left palmomental reflex	CUI-less
breath sounds decreased	CUI-less
escherichia coli bacteremia infections	C0014836
volume loss	CUI-less
pupils fixed dilated	CUI-less
hemmorhage	C0019080
phonemic paraphasias	CUI-less
dysplasia	C0334044
fibroid	C0042133
shoulder blade pain	C0231655
diabetes type 2	C0011860
seizure d/o	C0014544
right/left confusion	C0422885
common carotid artery aneursym	C0264965
squamous cell cancer	C0007137
centrilobular emphysema	C0221227
retrolisthesis	C1562792
coronary artery stenosis	C0242231
shaking	C0040822
perihilar haze	CUI-less
chronic disease	C0008679
dementia	C0497327
lack of safety awareness	CUI-less
lung mass	CUI-less
hct improved	CUI-less
aaa	C0162871
abdominal distention	CUI-less
adnexal mass	C2919424
dark bowel movement	C0025222
pathologic flow	CUI-less
non-responsive	CUI-less
hemrroiids	C0019112
basal cell carcinoma of the face	C1304291
skull fractures	C0037304
tarry stools	C0025222
chronic cough	C0010201
sbp fell	CUI-less
brain metastatic bleed	C0553692
bloody diarrhea	C0151594
stop anticoagulation	CUI-less
hypothermia	C0020672
patchy opacity	CUI-less
rbb blocks	C0085615
herniated	C0019270
neurologic pain	CUI-less
large clots	CUI-less
leak anastomosis	C1265705
congestion	C0700148
malaise	C0231218
bony erosions	C0587240
moved	CUI-less
adomen soft	CUI-less
hepatosplenomegaly	C0019214
cortical irritability	CUI-less
multiple ulcers	C1265815
uncooperative	CUI-less
cardiogenic shock	C0036980
bilateral infiltrates	C0332448
rapid afib	C1281999
acute events	CUI-less
fecal incontinence	C0015732
left ventricular ejection fraction	CUI-less
elevated cpk	CUI-less
red	CUI-less
acs	C0948089
pupil sluggish	CUI-less
atrial fibrillation	C0004238
sternal fracture	C0238436
atrial pacemaker artifact	C0340914
resp failure	C1145670
non-small cell lung cancer	C0007131
hemoptysis	C0019079
unresponsive to sternal rub	CUI-less
r sided neglect	CUI-less
cardiopulmonary process	CUI-less
reactive component	CUI-less
skin lesion	C0037284
primary pulmonary htn	C0152171
adnexal tenderness	CUI-less
reversible anterior defect	CUI-less
demented	C0497327
hyperpigmentation	C0162834
normal p-r interval	CUI-less
claudication	C1456822
wall motion abnormalities	CUI-less
hepatosplenomegally	C0019214
rca dissection	C0340648
atrial premature complex	C0033036
murmur radiated	CUI-less
catatonic depression	CUI-less
leptomeningeal disease	CUI-less
humerus lucency	CUI-less
abd soft	CUI-less
global aphasia	C0234469
tee related complications	C0160815
arm moving	CUI-less
skin bleeding	CUI-less
very low ejection fraction	CUI-less
posterior displacement	C0333044
common femoral laceration	C0160755
cardioembolic event	C1531624
renal lesions	CUI-less
indenting	CUI-less
chronic duodenal ulcers	C0341240
granulomas	C0018188
pulmonary sarcoidosis	C0036205
pernicious anemia	C0002892
rhf	C2939447
multiple drug interactions	CUI-less
varices	C0042345
c2 fracture	C0349013
kidney dysfunction	CUI-less
interstitial opacities	CUI-less
ulcers	C0041582
depressed cardiac index	CUI-less
degenerative	C0011164
rewarming	CUI-less
coronary artery disease	C1956346
acute pulmonary edema	C0155919
enlarged spleen	CUI-less
chronic renal failure	C0022661
irregularity gallbladder	CUI-less
pneumococcal sepsis	C0152966
thick neck	CUI-less
co2 retention	CUI-less
r sided pressure	CUI-less
abnormal focal enhancement	CUI-less
pulmonary contusions	C0347625
tender to palpation	CUI-less
defect	C0302142
mormurs	CUI-less
respiratoy failure	C1145670
elevation white blood cell count	C0023510
nonspecific st-t wave changes	CUI-less
gastric varix	C0017145
right-left confusion	C0422885
asthma exacerbation	CUI-less
food gastroesophageal junction	CUI-less
noncyanotic	CUI-less
l sided hearing loss	C0521785
syncopal events	C0039070
position of tracheostomy	CUI-less
left ventricular function	CUI-less
la dilated	C0344720
widening of mediastinal contours	CUI-less
ethmoid sinus thickening	CUI-less
masses	CUI-less
thigh hematoma	C0585250
obtunded	CUI-less
renal artery stenosis	C0035067
t2 signal	CUI-less
decreased bulk	CUI-less
psoriasis	C0033860
defects	C0302142
sinusitis	C0037199
food compaction	CUI-less
mucous membranes dry	C0854113
hepatitis b carrier	CUI-less
blood in stool	C1321898
hand lacerated	C0432975
cannot swallow	CUI-less
kidney amls	C0241961
right flank pain	C0423640
conolidation	C0521530
noninsulin dependent diabetes mellitus	C0011860
ulcerations stomach	C0038358
wounds drainage	C0332799
autonomic neuropathy	C0259749
peripheral hypodensity	CUI-less
tender	C0234233
svc syndrome	C0038833
infected	C0021311
hypodensities	CUI-less
bullous disease	C0263220
community-acquired pneumonia	C0694549
hepatitis c cirrhosis	CUI-less
pericardium tamponade	C0007177
pain swallowing	C0221150
common carotid aneurysm	C0264965
first degree a-v block	C0085614
hypertrophic cardiomyopathy	C0007194
longterm pain	C0150055
movement	CUI-less
left against medical advise	CUI-less
sydenham's chorea	C0152113
esophageal ulceration	C0151970
diabetes mellitus type ii	C0011860
calcified	CUI-less
inferior posterolateral defect	CUI-less
adenomatous polyps	C0206677
lower lobe consolidation	C0521530
tricuspid regurgitation	C0040961
cerebellar stroke	C0451672
alopecic from radiation	C0034520
processess	C0012634
liver fatty infiltration	C0015695
orthostatic hypotension	CUI-less
pseudoaneurysm	C1510412
intra axial hemorrhage	CUI-less
osteoporosis	C0029456
tremulous	CUI-less
diastolic chf	CUI-less
varicosities	C0042345
subcutaneous emphysema	C0038536
sbp's decreased	CUI-less
tachy	CUI-less
toe ulcer	C0577717
lesion	CUI-less
aml	C0206633
bleeding diverticula	C0581360
low iron	CUI-less
ligamentous injury	C0435001
suicidal ideations	CUI-less
ams	C0278061
intra-cranial bleeding	C0151699
urinary symptoms	C0426359
decreased sensation to light touch	C0752255
weakness	C1883552
falling down	CUI-less
shortness of breath	C0013404
hepatitis b cirrhosis	CUI-less
flaccid	CUI-less
elevated left atrial pressure	CUI-less
insulin dependent diabetes mellitus	C0011854
herpes simplex one	C1318711
pneumocephalus	C0032268
frequent discharges	CUI-less
ischemic hepatitis	C0473117
voiding difficulties	C0241705
pancreatic ascites	C0267772
sinus tachycardia	C0039239
psychogenic polydipsia	C0395005
hyperlucency	CUI-less
legionella antigen	CUI-less
ruptured aneurysm	C0162869
paraparesis	C0221166
hematoma	C0018944
collapse	C0004144
right lower lobe pneumonia	C0585105
left atrial enlargement	C0238705
t-wave inversions	CUI-less
neurologic complaints	C0027765
right coronary artery occluded	C1290385
atopic dermatitis	C0011615
subclavian vein stenosis	C0340754
low blood pressure	C0232107
delayed laryngeal valve closure	CUI-less
st segment depression	CUI-less
apd	CUI-less
blood in the urine	CUI-less
liver metastasis	C0494165
cardiac index	CUI-less
inattentive	CUI-less
lfts increased	CUI-less
ra dilated	C0344709
swelling wounds	CUI-less
spleen is enlarged	CUI-less
prior inferior myocardial infarction	C0340321
hematemesis	C0018926
left hemiplegia	CUI-less
left atrial dilation	C0344720
aspiration pna	C0032290
cataracts	C0086543
old infarct	C0333551
arrythmias	CUI-less
a-v dissociation	C0004331
mobility	CUI-less
dislocations	C0012691
weiss tear	C0024633
creatinine bumped	CUI-less
dilatation	C0012359
pulseless	CUI-less
responding appropriately	CUI-less
other acute process	CUI-less
sores	CUI-less
sig ekg changes	CUI-less
cryoglobulinemia	C0010403
itchy	C0033774
arf	C0022660
sternum drainage	CUI-less
diaphoresis	C0700590
complications	C0009566
nonpropulsive tertiary contraction	CUI-less
junctional rhythm	C0232208
hypok	C0086439
traumatic glaucoma	C0339594
foot fracture	C0272774
asd	C0018817
tumor	C0027651
bleeding gastric ulcer	C0341164
bile duct obstruction	C0008370
rub	CUI-less
asp	C0004030
kidney non functional	CUI-less
pupils sluggish	CUI-less
toxicity	C0013221
strength	CUI-less
difficulty eating	CUI-less
cannot keep in medications	CUI-less
bradykinesia	C0233565
thigh wound	C0347569
phonemic paraphsias	CUI-less
t wave inversion	CUI-less
renal cysts	C0268800
decreased oral intake	CUI-less
heel ulcer	C0577718
chronic subdural hematoma	C0582730
atn	C0022672
recollection	CUI-less
cerebeller hemorrhage	C0149854
benign bony lesion	CUI-less
iliac vein injury	C0160733
bilateral perihilar haziness	CUI-less
a fib	C0004238
mass lesion	CUI-less
bleed	C0019080
rvr	CUI-less
agitation	C0085631
rise lft's	CUI-less
q-t interval prolongation	CUI-less
hyperdynamic left ventricular function	CUI-less
drug rash	C0011609
instability	CUI-less
disc degeneration	C0158266
self-harm	C0085271
abrasions back	C0432807
positive nitrates	CUI-less
purulent sputum	C0241235
blood pressure decreasing	C0232107
mass pancreas	CUI-less
aspirated	CUI-less
pneumomediastinum	C0025062
hyperdensity	CUI-less
coughs	C0010200
avf	C0003855
crushing chest pain	C0232290
follow commands	CUI-less
avn	C0027543
avr	C0003504
hypo	C0086439
increased tb	CUI-less
loculated effusion	C1265808
critical aortic stenosis	C1960800
iga diagnosed	CUI-less
difficulty naming	C0233736
jugular venous distention	CUI-less
skin lesions	C0037284
laceration	C0043246
discomfort	CUI-less
hospital acquired pneumonia	C0949083
position of trach	CUI-less
defervesced	CUI-less
aortic root is dilated	C0238669
prostate ca	C0376358
increasing thirst	C0241379
aortic insufficiency	C0003504
vascular redistribution	CUI-less
anxious	CUI-less
patent foramen ovale	C0016522
left ventricular systolic function hyperdynamic	CUI-less
tonsilar hypertrophy	C0155829
stool rectal vault	CUI-less
bowel movement	CUI-less
biliary obstruction	C0400979
pacemaker capture	C0340923
elevation left hemidiaphragm	C0264583
upper gastrointestinal bleed	C0041909
dizziness	C0012833
changes in vision	C0042798
ebsteins anomaly	C0013481
changes on ekg	CUI-less
peumonia	C0032285
heart damage	C0018805
heart irregular rhythm	CUI-less
hilar mass	CUI-less
assault	C0004063
acute process	CUI-less
right bundle branch block	C0085615
disc herniation	C0242362
perirenal hematoma	CUI-less
dmii	C0011860
loculated fluid	CUI-less
tongue fasciculations	C0239548
abd tenderness ruq	C3164070
mucosal ulcerations	C0236053
recent wounds	C1265680
p.o. intake	CUI-less
venous stasis	C1536398
hypoglycemia	C0020615
mucosal thickening	CUI-less
left against medical advice	CUI-less
occluded svg	C0018128
responding to voice	CUI-less
r corneal	CUI-less
poor foot hygiene	CUI-less
clots	C0302148
plaque	CUI-less
left bundle-branch block	C0023211
poor renal perfusion	CUI-less
rectal pain	C0034886
choking	CUI-less
posterior-inferior cerebellar artery aneurysm	C0349600
acute inferior myocardial infarction	C0264700
work of breathing	C0013404
anterior myocardial infarction	C0340293
heavy bleeding	C0232943
vaginal bleeding	C0151706
cystinuria	C0010691
gerd	C0017168
heart failure	C0018801
dismal prognosis	CUI-less
ppd positive	CUI-less
aortic valve leaflets thickened	CUI-less
liver disease	C0023895
grasp bilaterally	CUI-less
plaques	CUI-less
ptosis	C0033377
addiction	C0085281
using heroin	CUI-less
opacification	CUI-less
hct drop	CUI-less
altered mental status	C0278061
degenerative change	C0011164
interatrial septum bowed	C0344794
abnormality	CUI-less
neuropathy	C0442874
aneurysm	C0002940
tracheo-bronchitis	C0040586
spine compression fractures	C0262431
abnormal periods	C0025345
plaque rupture	CUI-less
diabetes mellitus	C0011849
mitral annular calcification	C0428811
abdomen nondistended	CUI-less
bowel obstruction	C0021843
elevated cholesterol	C0020443
flail chest	C0016196
sah	C0038525
poorly controlled blood pressure	CUI-less
respiratory alkalosis	C0002064
right-sided weakness	CUI-less
left pleural effusion	C0032227
intermittently confused	C0559682
whites of eyes yellow	C0240962
edentulous	CUI-less
left ventricular wall motion abnormalities	CUI-less
sinus thickening	CUI-less
hyperpigementation	C0162834
malnourished	C0162429
ck trended down	CUI-less
desaturated	CUI-less
healed fracture	CUI-less
depression	C0011581
intoxicated	CUI-less
gilberts disease	C0017551
sbp	C0275551
delerium tremens	C0001957
shunt	CUI-less
angina	C0002962
psoas abcess	C0085222
blood in the stomach	CUI-less
ventriculitis	CUI-less
scd	C0002895
pancreas masses	CUI-less
st elevation myocardial infarction	C1303258
unarousable	CUI-less
eosinophilia	C0014457
fluid	C0013687
trace aspiration	CUI-less
decreased rom	CUI-less
illeus	C1258215
compresses spinal cord	C0037926
infarct	C0021308
gangliogliom	C0206716
aortic aneurysms	C0003486
symptoms	C1457887
prolonged pr interval	CUI-less
human immunodeficiency virus	C0019693
dilated left atrium	C0344720
gastric lesion	C0679408
pupils sluggishly reactive to light	CUI-less
nodular	C0028259
pulmonary artery hypertension	C0020542
poly substance od	C0029944
weight gain	CUI-less
thyroid cancer	C0007115
rca occlusions	C1290385
coagulase negative staphylococcus in blood	CUI-less
restrictive filling abnormality	CUI-less
delirious mental status changes	CUI-less
fractures skull	C0037304
retrocardiac opacity	CUI-less
sem	CUI-less
paraphasic errors	CUI-less
patchy linear opacities	CUI-less
metabolic	C0025517
elevation cardiac enzymes	CUI-less
tremor	C0040822
alcohol withdrawal seizures	C0586323
reocclusion rca	C1290385
vomited	C0042963
thrombi	C0087086
widened mediastinum	CUI-less
tonsil cancer	C0558355
incisional hernia	C0267716
mechanical heart sounds	CUI-less
hearing voices	C0424068
diast dysf	C0520863
left atrial dilatation	C0344720
using dilaudid	CUI-less
fecalization of bowel	CUI-less
ostial stenosis	C0345120
blood in his mouth	CUI-less
arterial laceration	C0340663
pelvic fx	C0149531
dilated bowel segments	CUI-less
asp pneumonia	C0032290
duodenal ulcer	C0013295
exposure to asbestos	CUI-less
repolarization abnormalities	CUI-less
